2022-07-18 08:30:48,063 INFO [main]	register protocol:1 success
2022-07-18 08:30:48,334 INFO [main]	register protocol:29 success
2022-07-18 08:30:48,343 INFO [main]	register protocol:4 success
2022-07-18 08:30:48,349 INFO [main]	register protocol:3 success
2022-07-18 08:30:48,350 INFO [main]	register protocol:31 success
2022-07-18 08:30:48,351 INFO [main]	register protocol:28 success
2022-07-18 08:30:48,352 INFO [main]	register protocol:32 success
2022-07-18 08:30:48,354 INFO [main]	register protocol:33 success
2022-07-18 08:30:48,354 INFO [main]	register protocol:30 success
2022-07-18 08:30:48,357 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2022-07-18 08:30:48,357 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2022-07-18 08:30:48,358 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2022-07-18 08:30:48,358 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2022-07-18 08:30:48,382 INFO [main]	create thread:server-work-thread-1
2022-07-18 08:30:48,383 INFO [main]	create thread:server-work-thread-2
2022-07-18 08:30:48,478 INFO [main]	use jdk nio event mode
2022-07-18 08:30:48,541 INFO [main]	create thread:timeout-timer-thread-1
2022-07-18 08:30:48,687 WARN [main]	meta file not exist, name=./data/log/metadata
2022-07-18 08:30:48,690 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2022-07-18 08:30:48,748 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2022-07-18 08:30:48,750 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2022-07-18 08:30:48,751 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2022-07-18 08:30:48,752 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2022-07-18 08:30:48,765 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
2022-07-18 08:30:48,769 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2022-07-18 08:30:48,773 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2022-07-18 08:30:48,775 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2022-07-18 08:30:48,784 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=get
2022-07-18 08:30:48,786 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=set
2022-07-18 08:30:48,840 INFO [main]	create thread:server-acceptor-thread-1
2022-07-18 08:30:48,848 INFO [main]	server started on port=8052 success
2022-07-18 08:30:48,871 INFO [main]	create thread:fairStrategy-timer-thread-1
2022-07-18 08:30:48,881 INFO [main]	create thread:client-work-thread-1
2022-07-18 08:30:48,881 INFO [main]	create thread:client-work-thread-2
2022-07-18 08:30:49,085 INFO [main]	create thread:client-io-thread-1
2022-07-18 08:30:49,121 INFO [main]	create thread:client-io-thread-2
2022-07-18 08:30:49,276 INFO [main]	create thread:fairStrategy-timer-thread-1
2022-07-18 08:30:49,276 INFO [main]	create thread:client-work-thread-1
2022-07-18 08:30:49,278 INFO [main]	create thread:client-work-thread-2
2022-07-18 08:30:49,281 INFO [main]	create thread:client-io-thread-1
2022-07-18 08:30:49,284 WARN [main]	init min idle object pool failed
2022-07-18 08:30:49,893 INFO [server-acceptor-thread-1]	create thread:server-io-thread-1
2022-07-18 08:30:49,915 INFO [server-acceptor-thread-1]	create thread:server-io-thread-2
2022-07-18 08:30:54,266 INFO [client-io-thread-1]	create thread:invalid-channel-callback-thread-1
2022-07-18 08:30:56,836 INFO [server-work-thread-1]	preVote request from server 1 in term 0 (my term is 0), granted=true
2022-07-18 08:30:56,886 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=0, firstLogIndex=1
2022-07-18 08:30:56,888 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:30:56,888 INFO [server-work-thread-2]	RequestVote request from server 1 in term 1 (my term is 1), granted=true
2022-07-18 08:30:57,041 INFO [server-work-thread-2]	new leaderId=1, conf={"servers": [{"server_id": 1,"endpoint": {"host": "10.3.0.5","port": 8052}},{"server_id": 2,"endpoint": {"host": "10.3.0.3","port": 8052}},{"server_id": 3,"endpoint": {"host": "10.3.0.2","port": 8052}}]}
2022-07-18 08:30:57,041 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:30:57,398 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:30:57,901 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:30:58,403 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:30:58,904 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:30:59,408 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:30:59,910 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:31:00,413 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:31:00,914 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
2022-07-18 08:31:01,414 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=1, firstLogIndex=1
