2022-07-18 09:09:46,712 INFO [main]	register protocol:1 success
2022-07-18 09:09:46,776 INFO [main]	register protocol:29 success
2022-07-18 09:09:46,780 INFO [main]	register protocol:4 success
2022-07-18 09:09:46,784 INFO [main]	register protocol:3 success
2022-07-18 09:09:46,785 INFO [main]	register protocol:31 success
2022-07-18 09:09:46,786 INFO [main]	register protocol:28 success
2022-07-18 09:09:46,787 INFO [main]	register protocol:32 success
2022-07-18 09:09:46,789 INFO [main]	register protocol:33 success
2022-07-18 09:09:46,789 INFO [main]	register protocol:30 success
2022-07-18 09:09:46,791 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2022-07-18 09:09:46,791 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2022-07-18 09:09:46,791 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2022-07-18 09:09:46,791 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2022-07-18 09:09:46,798 INFO [main]	create thread:server-work-thread-1
2022-07-18 09:09:46,798 INFO [main]	create thread:server-work-thread-2
2022-07-18 09:09:46,840 INFO [main]	use jdk nio event mode
2022-07-18 09:09:46,923 INFO [main]	create thread:timeout-timer-thread-1
2022-07-18 09:09:47,109 WARN [main]	meta file not exist, name=./data/log/metadata
2022-07-18 09:09:47,113 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2022-07-18 09:09:47,156 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2022-07-18 09:09:47,158 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2022-07-18 09:09:47,158 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2022-07-18 09:09:47,165 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2022-07-18 09:09:47,186 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
2022-07-18 09:09:47,189 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2022-07-18 09:09:47,191 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2022-07-18 09:09:47,193 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2022-07-18 09:09:47,198 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=get
