2022-07-18 09:09:48,210 INFO [main]	register protocol:1 success
2022-07-18 09:09:48,334 INFO [main]	register protocol:29 success
2022-07-18 09:09:48,338 INFO [main]	register protocol:4 success
2022-07-18 09:09:48,347 INFO [main]	register protocol:3 success
2022-07-18 09:09:48,348 INFO [main]	register protocol:31 success
2022-07-18 09:09:48,348 INFO [main]	register protocol:28 success
2022-07-18 09:09:48,349 INFO [main]	register protocol:32 success
2022-07-18 09:09:48,365 INFO [main]	register protocol:33 success
2022-07-18 09:09:48,365 INFO [main]	register protocol:30 success
2022-07-18 09:09:48,368 INFO [main]	register load balance factory:RandomLoadBalanceFactory success
2022-07-18 09:09:48,369 INFO [main]	register load balance factory:RoundRobinLoadBalanceFactory success
2022-07-18 09:09:48,369 INFO [main]	register load balance factory:WeightLoadBalanceFactory success
2022-07-18 09:09:48,369 INFO [main]	register load balance factory:FairLoadBalanceFactory success
2022-07-18 09:09:48,387 INFO [main]	create thread:server-work-thread-1
2022-07-18 09:09:48,387 INFO [main]	create thread:server-work-thread-2
2022-07-18 09:09:48,439 INFO [main]	use jdk nio event mode
2022-07-18 09:09:48,485 INFO [main]	create thread:timeout-timer-thread-1
2022-07-18 09:09:48,604 WARN [main]	meta file not exist, name=./data/log/metadata
2022-07-18 09:09:48,606 WARN [main]	meta file not exist, name=./data/snapshot/metadata
2022-07-18 09:09:48,649 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=appendEntries
2022-07-18 09:09:48,651 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=preVote
2022-07-18 09:09:48,656 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=requestVote
2022-07-18 09:09:48,665 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftConsensusService, methodName=installSnapshot
2022-07-18 09:09:48,681 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getConfiguration
2022-07-18 09:09:48,685 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=getLeader
2022-07-18 09:09:48,687 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=addPeers
2022-07-18 09:09:48,689 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.service.RaftClientService, methodName=removePeers
2022-07-18 09:09:48,692 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=get
2022-07-18 09:09:48,693 INFO [main]	register service, serviceName=com.github.wenweihu86.raft.example.server.service.ExampleService, methodName=set
2022-07-18 09:09:48,759 INFO [main]	create thread:server-acceptor-thread-1
2022-07-18 09:09:48,781 INFO [main]	server started on port=8052 success
2022-07-18 09:09:48,797 INFO [main]	create thread:fairStrategy-timer-thread-1
2022-07-18 09:09:48,800 INFO [main]	create thread:client-work-thread-1
2022-07-18 09:09:48,800 INFO [main]	create thread:client-work-thread-2
2022-07-18 09:09:48,968 INFO [main]	create thread:client-io-thread-1
2022-07-18 09:09:49,022 INFO [main]	create thread:client-io-thread-2
2022-07-18 09:09:49,154 INFO [main]	create thread:fairStrategy-timer-thread-1
2022-07-18 09:09:49,154 INFO [main]	create thread:client-work-thread-1
2022-07-18 09:09:49,158 INFO [main]	create thread:client-work-thread-2
2022-07-18 09:09:49,160 INFO [main]	create thread:client-io-thread-1
2022-07-18 09:09:49,165 WARN [main]	init min idle object pool failed
2022-07-18 09:09:49,915 INFO [server-acceptor-thread-1]	create thread:server-io-thread-1
2022-07-18 09:09:49,916 INFO [server-acceptor-thread-1]	create thread:server-io-thread-2
2022-07-18 09:09:54,050 INFO [client-io-thread-1]	create thread:invalid-channel-callback-thread-1
2022-07-18 09:09:56,895 INFO [server-work-thread-1]	preVote request from server 3 in term 0 (my term is 0), granted=true
2022-07-18 09:09:56,954 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=0, firstLogIndex=1
2022-07-18 09:09:56,955 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:09:56,955 INFO [server-work-thread-2]	RequestVote request from server 3 in term 1 (my term is 1), granted=true
2022-07-18 09:09:57,119 INFO [server-work-thread-2]	new leaderId=3, conf={"servers": [{"server_id": 1,"endpoint": {"host": "10.3.0.5","port": 8052}},{"server_id": 2,"endpoint": {"host": "10.3.0.3","port": 8052}},{"server_id": 3,"endpoint": {"host": "10.3.0.2","port": 8052}}]}
2022-07-18 09:09:57,120 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:09:57,470 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:09:57,973 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:09:58,479 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:09:58,981 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:09:59,486 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:09:59,991 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:00,493 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:00,991 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:01,492 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:01,991 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:02,491 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:02,992 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:03,493 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:03,993 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:04,494 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:04,994 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:05,494 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:05,997 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:06,496 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:06,996 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:07,498 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:07,998 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:08,499 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:09,000 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:09,501 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:10,001 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:10,095 INFO [server-work-thread-2]	create thread:fairStrategy-timer-thread-1
2022-07-18 09:10:10,096 INFO [server-work-thread-2]	create thread:brpc-work-thread-1
2022-07-18 09:10:10,096 INFO [server-work-thread-2]	create thread:brpc-work-thread-2
2022-07-18 09:10:10,098 INFO [server-work-thread-2]	create thread:brpc-io-thread-1
2022-07-18 09:10:10,104 INFO [server-work-thread-2]	create thread:brpc-io-thread-2
2022-07-18 09:10:10,143 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:10,143 INFO [server-work-thread-1]	AppendEntries request from server 3 in term 1 (my term is 1), entryCount=1 resCode=RES_CODE_SUCCESS
2022-07-18 09:10:10,231 INFO [server-work-thread-2]	set request, request={"key": "hello","value": "zmb"}, response={"success": true}
2022-07-18 09:10:10,500 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:11,002 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:11,503 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:12,004 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:12,509 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:13,004 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:13,504 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:14,005 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:14,505 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:15,013 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:15,516 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:16,029 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:16,510 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:17,012 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:17,512 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:18,015 INFO [server-work-thread-1]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
2022-07-18 09:10:18,512 INFO [server-work-thread-2]	new segment meta info, currentTerm=1, votedFor=3, firstLogIndex=1
